Moments of Inertia Data

Mass  Length  Radius  Moment
4.37    2.06    0.93    2.48
4.40    2.15    0.96    2.71
5.81    2.02    0.94    3.26
4.22    1.96    0.81    2.05
5.06    1.70    1.20    3.04
5.93    2.06    1.07    3.80
5.11    1.66    1.01    2.48
4.51    1.98    1.05    2.71
5.34    1.90    1.09    3.20
5.24    2.52    0.99    4.05
5.19    1.98    0.97    2.91
5.68    1.89    0.81    2.62
5.39    1.75    1.01    2.74
4.26    2.28    0.82    2.57
5.09    1.52    0.89    2.00
4.75    2.02    1.00    2.81
5.74    2.18    1.04    3.83
4.76    2.05    1.10    3.11
5.65    2.15    1.02    3.66
4.70    2.05    0.98    2.78
4.95    2.18    1.04    3.29
4.24    1.79    1.05    2.29
5.54    1.82    1.04    3.02
5.22    2.10    1.10    3.51
4.49    2.02    0.90    2.43
4.73    1.95    1.09    2.91
3.82    2.14    0.98    2.37
6.05    1.99    1.11    3.86
4.50    2.05    0.95    2.60
4.98    2.44    0.99    3.67
4.79    1.80    0.86    2.18
5.14    2.07    0.88    2.83
4.38    2.03    0.90    2.39
4.39    1.99    1.21    3.06
5.56    2.41    0.98    4.02
5.38    1.94    0.94    2.86
5.16    2.07    0.84    2.76
4.70    1.82    0.97    2.40
5.29    1.83    1.15    3.23
4.14    2.01    1.02    2.47
5.44    1.73    0.99    2.69
5.70    1.92    0.81    2.68
5.57    1.96    1.12    3.52
5.26    1.88    1.13    3.23
4.52    2.10    1.11    3.04
5.43    2.03    0.99    3.19
5.92    2.17    1.01    3.82
5.20    1.79    1.12    3.01
5.66    2.00    0.85    2.91
5.36    2.16    1.14    3.83
5.53    2.43    1.02    4.14
5.03    2.09    0.93    2.93
4.75    1.91    0.95    2.52
5.31    2.00    1.01    3.11
5.19    1.95    0.99    2.92
5.32    2.23    0.96    3.43
4.65    1.96    1.03    2.73
4.90    2.05    1.05    3.07
5.01    1.56    1.05    2.39
5.07    2.10    0.96    3.02
4.94    2.23    0.99    3.25
5.26    2.06    1.08    3.41
5.47    2.11    0.93    3.19
4.75    1.98    1.01    2.75
5.00    1.69    1.11    2.73
4.23    1.89    0.94    2.20
4.75    1.54    0.90    1.90
5.35    2.13    0.99    3.32
4.47    2.11    1.04    2.85
4.94    1.92    1.09    2.98
5.33    1.82    1.08    3.00
4.73    2.27    0.86    2.91
4.80    1.92    0.96    2.56
4.04    1.52    0.92    1.63
5.12    2.21    1.14    3.74
3.98    2.12    1.03    2.56
4.62    2.01    1.11    2.97
5.50    2.26    1.08    3.94
5.17    1.99    1.13    3.37
4.95    2.22    1.13    3.61
5.16    1.54    0.97    2.23
5.23    2.02    1.00    3.08
5.69    2.43    0.94    4.05
5.03    1.86    0.90    2.47
5.80    1.89    1.03    3.25
5.04    1.96    1.01    2.89
5.26    2.00    1.00    3.08
4.61    1.77    0.89    2.11
5.39    2.13    0.99    3.34
5.56    1.86    1.04    3.11
4.62    1.88    0.96    2.42
4.41    2.26    1.20    3.47
4.70    2.01    1.05    2.87
5.36    2.38    0.92    3.66
4.61    2.01    1.06    2.84
4.79    2.33    1.09    3.58
4.94    1.69    0.92    2.23
5.79    1.86    1.10    3.41
4.07    2.05    1.03    2.50
5.99    2.17    1.02    3.88
3.90    2.22    0.97    2.52
5.80    2.25    1.02    3.94
5.16    1.88    0.96    2.70
5.15    1.93    0.96    2.78
4.58    2.08    0.70    2.21
4.19    2.26    1.02    2.87
5.95    1.80    0.83    2.64
5.33    1.88    1.06    3.08
4.99    1.71    1.10    2.73
4.79    1.68    1.08    2.52
6.16    1.68    1.04    3.13
4.86    2.01    1.03    2.91
4.44    1.99    1.14    2.90
4.25    1.84    1.00    2.27
4.89    2.22    1.08    3.43
5.75    2.27    1.04    4.03
5.30    2.44    1.11    4.26
4.74    2.37    1.08    3.61
4.99    2.11    1.09    3.34
4.64    1.90    0.89    2.32
4.58    2.14    1.06    3.03
5.17    2.34    1.04    3.76
4.75    2.28    1.05    3.37
5.54    2.04    0.92    3.08
5.49    1.75    0.94    2.62
5.70    1.78    1.01    2.96
5.67    2.43    0.94    4.05
4.89    2.07    1.12    3.29
5.28    1.61    0.97    2.39
